,ID,first_name,last_name,gender,birth,party,profession,education
888,919,Henning,Østergaard,M,1949-01-11T00:00:00,K,Udenfor arbejdsmarkedet,Erhvervsuddannelse
889,1018,Elena,Ryan,F,1995-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
890,1060,Jenny,Andresen,F,1982-11-15T00:00:00,Æ,Offentligt ansat,Bachelor-/diplomuddannelse
891,582,Carina Bloch,Simonsen,F,1973-05-13T00:00:00,M,Privat ansat/selvstændig,Kandidat-/masteruddannelse
892,795,Dan,Jørgensen,M,1975-06-06T00:00:00,A,Minister,Kandidat-/masteruddannelse
893,624,Stine Maureen,Rosenquist,F,1971-04-21T00:00:00,M,Privat ansat/selvstændig,Kandidat-/masteruddannelse
894,667,Susanne,Zimmer,F,1960-01-01T00:00:00,Q,Ikke oplyst,Ikke oplyst
895,1024,Jasmin,Kaur,F,2001-08-15T00:00:00,Q,Studerende,Bachelor-/diplomuddannelse
896,732,Susie,Jessen,F,1985-02-21T00:00:00,Æ,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
897,60,Nicola Emily,Larsen,F,2002-08-05T00:00:00,C,Studerende,Bachelor-/diplomuddannelse
898,1068,Charlotte,Møller-Madsen,F,1973-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
899,666,Yadvinder,Singh,M,1992-02-28T00:00:00,Q,Ikke oplyst,Ikke oplyst
900,461,Jakob,Kjærsgaard,M,1991-08-10T00:00:00,O,Privat ansat/selvstændig,Gymnasial uddannelse
901,786,Maria,Durhuus,F,1977-09-25T00:00:00,A,Offentligt ansat,Bachelor-/diplomuddannelse
902,66,Merete,Scheelsbeck,F,1986-06-23T00:00:00,C,Byråds- eller regionsrådsmedlem,Kandidat-/masteruddannelse
903,1072,Jon,Krongaard,M,1988-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
904,777,Henrik,Møller,M,1965-11-16T00:00:00,A,Folketingsmedlem,Gymnasial uddannelse
905,678,Andreas Berendt,Bæk,M,2000-01-15T00:00:00,F,Studerende,Gymnasial uddannelse
906,75,Mette,Abildgaard,F,1988-12-10T00:00:00,C,Folketingsmedlem,Kandidat-/masteruddannelse
907,313,Ragnar,Dixen,M,1987-04-28T00:00:00,I,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
908,138,Niels Flemming,Hansen,M,1974-05-16T00:00:00,C,Folketingsmedlem,Gymnasial uddannelse
909,896,Niels Bjarne,Lund,M,1957-09-30T00:00:00,Ø,Privat ansat/selvstændig,Erhvervsuddannelse
910,40,Birgitte Kehler,Holst,F,1971-12-02T00:00:00,Å,Offentligt ansat,Kandidat-/masteruddannelse
911,289,Astrid Vang,Hansen,F,1987-08-05T00:00:00,Ø,Ikke oplyst,Ikke oplyst
912,711,Rasmus,Sandvej,M,1984-12-05T00:00:00,C,Leder,Bachelor-/diplomuddannelse
913,606,Lucas,Olsgaard,M,2002-01-05T00:00:00,M,Offentligt ansat,Gymnasial uddannelse
914,273,Mai,Villadsen,F,1991-12-26T00:00:00,Ø,Folketingsmedlem,Ikke oplyst
915,419,Sofie,Lippert,F,1995-12-20T00:00:00,F,Studerende,Kandidat-/masteruddannelse
916,433,Peder,Larsen,M,1972-12-29T00:00:00,F,Offentligt ansat,Bachelor-/diplomuddannelse
917,1067,Anders Bo,Larsen,M,1984-11-03T00:00:00,V,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
918,571,Jens,Kloppenborg-Skrumsager,M,1970-05-29T00:00:00,V,Leder,Bachelor-/diplomuddannelse
919,834,Brian,Bressendorff,M,1987-11-24T00:00:00,A,Offentligt ansat,Kandidat-/masteruddannelse
920,143,Frederik Bloch,Münster,M,1994-11-03T00:00:00,C,Privat ansat/selvstændig,Kandidat-/masteruddannelse
921,285,Ibrahim,Benli,M,1979-06-06T00:00:00,Ø,Offentligt ansat,Kandidat-/masteruddannelse
922,806,Jeppe,Kofod,M,1974-03-15T00:00:00,A,Ikke oplyst,Ikke oplyst
923,799,Mads Madsen,Henriksen,M,1989-10-03T00:00:00,A,Ikke oplyst,Ikke oplyst
924,549,Kasper B.,Mundt,M,1994-05-12T00:00:00,V,Offentligt ansat,Bachelor-/diplomuddannelse
925,989,Thomas,Kristoffersen,M,1996-01-01T00:00:00,V,Ikke oplyst,Ikke oplyst
926,894,Camilla Dalum,Jensen,F,2001-08-15T00:00:00,Ø,Privat ansat/selvstændig,Erhvervsuddannelse
927,521,Marie,Bjerre,F,1986-05-06T00:00:00,V,Folketingsmedlem,Kandidat-/masteruddannelse
928,1106,Gustav Sieg,Sørensen,M,1951-01-01T00:00:00,Å,Ikke oplyst,Ikke oplyst
929,1038,Ane Line,Søndergaard,F,1972-09-05T00:00:00,Å,Offentligt ansat,Bachelor-/diplomuddannelse
930,142,Steen Holm,Iversen,M,1964-10-10T00:00:00,C,Offentligt ansat,Bachelor-/diplomuddannelse
931,812,Thomas,Jensen,M,1970-10-19T00:00:00,A,Folketingsmedlem,Kandidat-/masteruddannelse
