,ID,first_name,last_name,gender,birth,party,profession,education
284,917-kristian-soendergaard-larsen,Kristian Søndergaard,Larsen,M,1978-07-06T00:00:00,K,Offentligt ansat,Kandidat-/masteruddannelse
285,13-joachim-kjeldsen,Joachim,Kjeldsen,M,1979-06-25T00:00:00,Å,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
286,239-klaus-bondam,Klaus,Bondam,M,1963-11-19T00:00:00,B,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
287,296-nicolai-sandager,Nicolai,Sandager,M,1976-08-05T00:00:00,I,Privat ansat/selvstændig,Gymnasial uddannelse
288,731-sebastian-mylsted-schenstroem,Sebastian,Mylsted-Schenstrøm,M,1992-02-21T00:00:00,Æ,Privat ansat/selvstændig,Kandidat-/masteruddannelse
289,171-melanie-joergensen,Melanie,Jørgensen,F,1996-10-14T00:00:00,D,Leder,Erhvervsuddannelse
290,982-michael-valentin-ilsoe,Michael Valentin,Ilsø,M,1983-04-10T00:00:00,I,Privat ansat/selvstændig,Erhvervsuddannelse
291,734-charlotte-munch,Charlotte,Munch,F,1967-06-08T00:00:00,Æ,Byråds- eller regionsrådsmedlem,Erhvervsuddannelse
292,996-jakob-buchwald-busk,Jakob Buchwald,Busk,M,1969-11-18T00:00:00,D,Leder,Erhvervsuddannelse
293,282-leila-stockmarr,Leila,Stockmarr,F,1982-04-01T00:00:00,Ø,Ikke oplyst,Ikke oplyst
294,698-milo-gaarde,Milo,Gaarde,M,2002-11-08T00:00:00,F,Offentligt ansat,Gymnasial uddannelse
295,36-franciska-rosenkilde,Franciska,Rosenkilde,F,1976-03-19T00:00:00,Å,Partileder,Kandidat-/masteruddannelse
296,1070-helene-brix-petersen,Helene,Brix,F,1991-01-01T00:00:00,O,Ikke oplyst,Ikke oplyst
297,194-kim-edberg,Kim Edberg,Andersen,M,1973-06-21T00:00:00,D,Privat ansat/selvstændig,Bachelor-/diplomuddannelse
298,861-emil-ulrik-andersen,Emil Ulrik,Andersen,M,1987-01-20T00:00:00,Ø,Privat ansat/selvstændig,Kandidat-/masteruddannelse
299,77-diana-ester-brandt-eriksen,Diana-Ester Brandt,Eriksen,F,1997-10-25T00:00:00,C,Offentligt ansat,Bachelor-/diplomuddannelse
300,1095-ulla-sandbaek,Ulla,Sandbæk,F,1943-01-01T00:00:00,Å,Udenfor arbejdsmarkedet,Ph.d.-uddannelse
301,685-jeanne-rygas-bergmansen,Jeanne Rygas,Bergmansen,F,1989-05-01T00:00:00,F,Offentligt ansat,Bachelor-/diplomuddannelse
302,1135-thomas-vesth,Thomas,Vesth,M,1964-01-01T00:00:00,I,Ikke oplyst,Ikke oplyst
303,907-josephine-alstrup,Josephine,Alstrup,F,1999-02-11T00:00:00,O,Studerende,Bachelor-/diplomuddannelse
304,203-andreas-steenberg,Andreas,Steenberg,M,1983-07-22T00:00:00,B,Folketingsmedlem,Kandidat-/masteruddannelse
305,1119-ketil-wathne-rasmussen,Ketil Wathne,Rasmussen,M,1975-01-01T00:00:00,D,Ikke oplyst,Ikke oplyst
306,413-anna-braendemose,Anna,Brændemose,F,1993-08-03T00:00:00,F,Offentligt ansat,Kandidat-/masteruddannelse
307,949-henrik-forsberg,Henrik,Forsberg,M,1960-01-01T00:00:00,K,Ikke oplyst,Ikke oplyst
